flight_id,origin,destination,departure_time,arrival_time,distance_miles,priority
F001,TIA,FRA,2026-06-20T06:00:00Z,2026-06-20T08:12:00Z,850,3
F002,FRA,LHR,2026-06-20T10:12:00Z,2026-06-20T11:30:00Z,400,2
F003,LHR,JFK,2026-06-20T13:30:00Z,2026-06-20T20:54:00Z,3450,1
F004,JFK,CDG,2026-06-20T22:54:00Z,2026-06-21T06:40:00Z,3635,1
F005,CDG,AMS,2026-06-21T08:40:00Z,2026-06-21T09:41:00Z,265,1
F006,TIA,VIE,2026-06-20T16:00:00Z,2026-06-20T17:32:00Z,520,3
F007,VIE,IST,2026-06-20T19:32:00Z,2026-06-20T21:44:00Z,850,3
F008,IST,DXB,2026-06-20T23:44:00Z,2026-06-21T03:18:00Z,1540,1
F009,TIA,FCO,2026-06-24T12:00:00Z,2026-06-24T13:39:00Z,580,1
F010,FCO,MAD,2026-06-24T15:39:00Z,2026-06-24T16:59:00Z,422,1
F011,MAD,BCN,2026-06-24T18:59:00Z,2026-06-24T20:06:00Z,315,1
F012,BCN,CDG,2026-06-24T22:06:00Z,2026-06-24T23:40:00Z,535,1
F013,FRA,MUC,2026-06-24T15:00:00Z,2026-06-24T15:52:00Z,190,1
F014,MUC,VIE,2026-06-24T17:52:00Z,2026-06-24T23:33:00Z,2598,1
F015,VIE,WAW,2026-06-25T01:33:00Z,2026-06-25T02:45:00Z,350,3
F016,LHR,DUB,2026-06-24T12:00:00Z,2026-06-24T13:04:00Z,290,1
F017,DUB,CDG,2026-06-24T15:04:00Z,2026-06-24T19:50:00Z,2139,3
F018,CDG,FCO,2026-06-24T21:50:00Z,2026-06-24T23:42:00Z,690,2
F019,FCO,ATH,2026-06-25T01:42:00Z,2026-06-25T03:31:00Z,660,1
F020,JFK,LHR,2026-06-21T12:00:00Z,2026-06-21T19:24:00Z,3450,2
F021,LHR,FRA,2026-06-21T21:24:00Z,2026-06-21T22:42:00Z,400,2
F022,FRA,AMS,2026-06-22T00:42:00Z,2026-06-22T01:39:00Z,230,1
F023,AMS,CPH,2026-06-22T03:39:00Z,2026-06-22T05:05:00Z,470,1
F024,CPH,OSL,2026-06-22T07:05:00Z,2026-06-22T08:12:00Z,310,2
F025,TIA,CDG,2026-06-20T07:00:00Z,2026-06-20T09:24:00Z,950,2
F026,CDG,MAD,2026-06-20T11:24:00Z,2026-06-20T13:11:00Z,645,1
F027,MAD,LHR,2026-06-20T15:11:00Z,2026-06-20T17:14:00Z,780,2
F028,AMS,HEL,2026-06-22T15:00:00Z,2026-06-22T17:31:00Z,1010,2
F029,HEL,CPH,2026-06-22T19:31:00Z,2026-06-22T21:21:00Z,670,1
F030,CPH,OSL,2026-06-22T23:21:00Z,2026-06-23T00:28:00Z,310,3
F031,FRA,IST,2026-06-23T14:00:00Z,2026-06-23T17:15:00Z,1380,1
F032,IST,DXB,2026-06-23T19:15:00Z,2026-06-23T22:49:00Z,1540,2
F033,CDG,BCN,2026-06-20T14:00:00Z,2026-06-20T15:34:00Z,535,2
F034,BCN,MAD,2026-06-20T17:34:00Z,2026-06-20T18:41:00Z,315,3
F035,MAD,LHR,2026-06-20T20:41:00Z,2026-06-20T22:44:00Z,780,3
F036,LHR,DUB,2026-06-21T00:44:00Z,2026-06-21T01:48:00Z,290,2
F037,JFK,CDG,2026-06-25T06:00:00Z,2026-06-25T13:46:00Z,3635,3
F038,TIA,FRA,2026-06-25T09:00:00Z,2026-06-25T11:12:00Z,850,3
F039,AMS,VIE,2026-06-25T13:00:00Z,2026-06-25T14:40:00Z,590,1
F040,FRA,LHR,2026-06-25T17:00:00Z,2026-06-25T18:18:00Z,400,2
F041,CPH,HEL,2026-06-25T22:00:00Z,2026-06-25T23:50:00Z,670,3
F042,LHR,JFK,2026-06-26T03:00:00Z,2026-06-26T10:24:00Z,3450,2
F043,JFK,CDG,2026-06-26T08:00:00Z,2026-06-26T15:46:00Z,3635,3
F044,FRA,LHR,2026-06-26T13:00:00Z,2026-06-26T14:18:00Z,400,3
F045,LHR,JFK,2026-06-26T21:00:00Z,2026-06-27T04:24:00Z,3450,3
F046,JFK,CDG,2026-06-27T05:00:00Z,2026-06-27T12:46:00Z,3635,1
F047,MAD,BCN,2026-06-27T11:00:00Z,2026-06-27T12:07:00Z,315,2
F048,JFK,CDG,2026-06-27T19:00:00Z,2026-06-28T02:46:00Z,3635,3
F049,TIA,FRA,2026-06-28T00:00:00Z,2026-06-28T02:12:00Z,850,1
F050,FCO,IST,2026-06-28T03:00:00Z,2026-06-28T05:34:00Z,1040,2